id,city,year,monuments,historical_buildings,memorial_buildings,settlements,historical_sites,cultural_landscapes,archaeological_sites,antiquities,traditional_arts,folklore,oral_traditions,traditional_knowledge,cultural_venues_total,dedicated_arts_venues,museum_art_venues,memorial_cultural_halls,galleries,auditoriums,theatre_rehearsal_venues,library_data_venues,statutory_museums,local_cultural_halls,arts_events_total,arts_attendance_thousands,visual_arts_events,craft_events,design_events,classical_traditional_music_events,popular_music_events,drama_events,dance_events,folklore_heritage_events,language_library_events,festivals,international_festivals,festival_days,festival_attendance,arts_groups,arts_foundations,street_performance_venues,street_artists_or_groups,central_grants_thousand,local_matching_thousand,community_grants_thousand,community_matching_thousand,museum_hall_grants_thousand,museum_hall_matching_thousand,source_title,source_url,source_files,last_verified,notes
region-2024-01,新北市,2024,93,79,3,0,0,5,5,16,53,15,3,0,360,10,10,24,2,3,3,107,9,9,9044,45260,952,852,262,698,418,454,397,1122,2535,15,3,387,2886751,1170,67,126,2906,31030,30316,12900,14546,18130,15770,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-02,臺北市,2024,205,343,6,3,2,10,2,1863,42,7,0,0,275,20,38,22,24,7,7,63,21,16,6017,46520,814,104,128,1109,295,830,165,335,1309,15,10,407,1077076,1760,150,243,4961,9785,13086,0,0,9785,13086,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-03,桃園市,2024,32,102,0,0,0,4,1,13,18,3,2,0,429,9,8,44,4,3,1,43,1,20,6756,21112,587,291,314,532,540,397,344,657,1930,14,6,197,591234,390,25,120,1260,23200,14309,12900,9159,10300,5150,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-04,臺中市,2024,59,119,3,1,0,7,7,99,35,11,2,0,276,9,8,11,19,4,2,51,7,17,7071,37590,1251,474,158,601,506,328,94,285,2145,20,2,366,2298885,756,35,85,4970,18450,13183,11600,7670,6850,5513,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-05,臺南市,2024,142,90,0,1,0,2,9,107,69,60,0,0,329,16,17,32,14,1,2,42,7,13,6289,39504,535,335,289,471,610,385,252,607,1775,28,8,1296,2458568,293,65,98,4015,52090,30780,9690,10500,42400,20280,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-06,高雄市,2024,51,67,1,1,0,6,5,55,25,22,0,0,310,11,6,14,7,1,0,60,6,28,7471,42442,666,110,92,970,1290,782,181,330,1800,13,7,185,1111254,993,23,47,1800,71780,30241,12420,3105,59360,27136,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-07,宜蘭縣,2024,43,91,0,0,0,6,2,27,20,6,0,0,150,2,8,19,0,2,1,17,7,14,1524,6126,148,52,22,165,52,306,129,211,202,4,3,104,651784,167,28,41,385,22007,7664,6560,1670,15447,5994,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-08,新竹縣,2024,32,43,0,0,0,0,0,7,16,4,0,0,128,1,1,19,8,0,0,13,1,13,1198,8294,94,51,5,129,56,59,15,252,360,10,1,488,51478,83,10,31,2469,10100,4899,7000,2030,3100,2869,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-09,苗栗縣,2024,18,63,0,0,1,4,0,16,33,9,4,0,37,3,2,7,1,0,0,13,2,11,1578,4292,103,125,15,113,148,77,104,119,500,3,1,73,548889,65,7,39,267,20540,5404,8800,1020,11740,4384,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-10,彰化縣,2024,60,107,0,2,0,3,1,38,46,7,0,1,150,10,2,13,0,2,1,28,2,14,2208,7421,273,58,11,82,44,318,24,132,794,9,1,123,118277,241,1,8,1255,11155,3591,7060,1438,4095,2153,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-11,南投縣,2024,18,46,2,0,2,3,4,26,39,6,1,2,105,5,5,3,0,0,0,18,2,10,1772,9294,165,184,30,112,119,57,43,240,356,2,0,17,16840,164,35,57,845,10780,2863,5830,1141,4950,1722,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-12,雲林縣,2024,29,89,0,1,0,3,2,50,17,17,0,0,126,4,0,7,2,0,0,24,1,18,2144,6279,104,31,3,90,95,482,16,112,809,4,1,113,286000,282,0,28,191,20190,7475,11800,5058,8390,2417,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-13,嘉義縣,2024,25,28,0,0,0,4,1,16,9,10,0,0,96,1,2,5,1,0,0,16,0,15,1250,7377,144,76,28,96,23,135,33,238,259,2,1,75,17632,49,18,22,926,15970,12171,6470,793,9500,11378,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-14,屏東縣,2024,26,72,0,5,1,4,1,67,36,35,8,2,122,3,5,8,0,0,1,34,2,21,1408,9639,42,21,16,94,126,173,133,169,498,7,4,157,251530,231,14,17,266,26153,5204,6180,911,19973,4293,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
region-2024-15,臺東縣,2024,0,51,0,0,0,3,5,37,27,11,1,4,104,4,3,10,0,0,1,17,1,14,975,868,111,35,18,69,199,56,38,214,143,5,5,143,258172,212,17,18,18,10490,3644,5890,681,4600,2963,文化部文化統計網－2025年編印（2024年資料）,https://stat.moc.gov.tw/eBook_List_DoL.aspx?id=114_01&year=2025,20260905_5303文化部及縣市政府藝術節慶活動辦理概況.xlsx|20260905_3101文化資產數量.xlsx|20260905_3201藝文場所概況.xlsx|20260905_5301全國藝文活動展演概況.xlsx|20260905_3301社區營造及博物館與地方文化館概況.xlsx|20260905_4201藝文團體概況.xlsx,2026-09-05,街頭藝人欄位依各縣市原報送口徑，可能為人數或組數；中央補助及地方配合款不併入地方文化預算或文化支出。
